,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
0,s1,Movie,Ricky Velez: Here's Everything,,,,2021-10-24,2021,TV-MA,,"Comedy, Stand Up",â€‹Comedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special.
1,s2,Movie,Silent Night,,,,2021-10-23,2020,,94 min,"Crime, Drama, Thriller","Mark, a low end South London hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by Alan, his former cellmate, to do one final job."
2,s3,Movie,The Marksman,,,,2021-10-23,2021,PG-13,108 min,"Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.
3,s4,Movie,Gaia,,,,2021-10-22,2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.
4,s5,Movie,Settlers,,,,2021-10-22,2021,,104 min,"Science Fiction, Thriller",Mankind's earliest settlers on the Martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.
6,s7,Movie,The Evil Next Door,,,,2021-10-21,2020,,88 min,"Horror, Thriller","New to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son Lucas. Soon, strange noises start coming from the empty house adjoining theirs. Also, who is Lucasâ€™s new friend?"
11,s12,Movie,Dream Horse,,,,2021-10-18,2020,PG,113 min,"Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.
12,s13,Movie,Out of the Shadows: The Man Behind the Steele Dossier,,,,2021-10-18,2021,,,News,George Stephanopoulos sits down with former MI6 spy Christopher Steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the Steele dossier.
15,s16,Movie,Showtime Championship Boxing: Lopez vs. Salido (R),,,,2021-10-16,2011,,,Sports,Juan Manuel Lopez vs. Orlando Salido for the WBO Featherweight title.
20,s21,Movie,Cheer Camp Killer,,,,2021-10-15,2020,TV-14,87 min,Thriller,"Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way."
26,s27,Movie,Sleepwalker,,,,2021-10-15,2017,TV-14,88 min,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.
31,s32,Movie,Censor,,,,2021-10-14,2021,,84 min,Horror,A film censor is assigned to review a disturbing film that recalls her childhood memories. She begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.
34,s35,Movie,Out of Death,,,,2021-10-14,2021,NOT RATED,95 min,Thriller,"When Shannon (Jaime King) sets out on a hike to spread her deceased fatherâ€™s ashes, she witnesses a corrupt sheriffâ€™s deputy, Billie (Lala Kent) brutally murder a drug dealer. Having seen Shannon witness the murder, Billie and her cohorts set off to permanently silence Shannon. On the run from the dirty cops, Shannon stumbles into and recruits the help of a retired cop, Jack Harris (Bruce Willis)."
37,s38,Movie,BELLATOR MMA: Kongo vs. Johnson 2,,,,2021-10-13,2020,,,Sports,Cheick Kongo vs. Tim Johnson battle in a historic classic from October 2020
38,s39,Movie,CHIPS,,,,2021-10-13,2017,R,101 min,"Action, Adventure, Comedy",Ponch and Jon are together again in this hilarious update of the popular TV series that follows a mismatched pair of motorcycle cops.
40,s41,Movie,In the Crease,,,,2021-10-13,2020,,,Sports,Post-game analysis and highlight show airing each night throughout the NHL season from Barry Melrose and Linda Cohn.
42,s43,Movie,The Loneliest Whale: The Search for 52,,,,2021-10-12,2021,PG,97 min,Documentaries,"A cinematic quest to find the â€œ52 Hertz Whale.â€ As the film embarks on its engrossing journey, we uncover what this whaleâ€™s lonely plight teaches us not only about our relationship to the ocean, but to each other."
43,s44,Movie,Gunda,,,,2021-10-11,2020,G,93 min,Documentaries,"Experiential cinema in its purest form, GUNDA is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows."
46,s47,Movie,G.I. Joe: Retaliation,,,,2021-10-10,2013,PG-13,105 min,"Action, Adventure",The Greatest American Heroes are back to face COBRA in a new adventure.
47,s48,Movie,Rogue Hostage,,,,2021-10-10,2021,,94 min,"Action, Thriller",Child Protective Services officer and former Marine Kyle Snowden must save an immigrant child from a dangerous criminal who has trapped them and other hostages inside a neighborhood store owned by Kyleâ€™s controversial stepfather Congressman Sam Nelson.
50,s51,Movie,Yashahime: Princess Half-Demon,,,Japan,2021-10-09,2020,2 Seasons,,Anime,"Long-lost twins Towa and Setsuna reunite after ten years to discover that they are the half-demon daughters of the great demon Sesshomaru. Joined by Moroha, the daughter of Inuyasha, the three set out on a journey to regain their missing past."
52,s53,Movie,Jacinta,,,,2021-10-08,2021,TV-MA,105 min,Documentaries,"An intimate portrait of mothers and daughters and the effects of trauma, Jacinta follows a young woman in and out of prison as she attempts to break free from an inherited cycle of addiction, incarceration, and crime."
55,s56,Movie,FIFA World Cup 2022 Qualifying,,,,2021-10-07,2019,,,Sports,Match coverage from the qualifiers for the FIFA 2022 World Cup.
56,s57,Movie,BELLATOR MMA 257: Nemkov vs. Davis 2 (R),,,,2021-10-06,2021,,,Sports,"BELLATOR champ Vadim Nemkov, Phil Davis, Corey Anderson in action. REPLAY"
57,s58,Movie,BELLATOR MMA: Davis vs. Nemkov,,,,2021-10-06,2018,,,Sports,Former BELLATOR MMA champion Phil Davis faces Russia's Vadim Nemkov.
59,s60,Movie,The Hills Presents: Speidi's Wedding Unveiled,,,,2021-10-05,2009,TV-PG,,"Reality, Teen","The new Mr. and Mrs. Pratt present candid interviews with the cast of Hills, exclusive footage you never saw on the show, a glimpse at the media frenzy surrounding the wedding of the year, and an interview with Kristin Cavallari"
61,s62,Movie,Maggie's Plan,,,,2021-10-04,2015,R,99 min,"Comedy, Drama, Romance","A young woman (Gerwig) set on having a child, catapults herself into a love triangle with an academic (Hawke) & his eccentric wife (Moore)."
63,s64,Movie,The Program,,,,2021-10-04,1993,R,112 min,"Action, Adventure, Drama",An action-packed story about a group of Top 10 college football athletes.
64,s65,Movie,Unfaithful,,,,2021-10-04,2002,R,124 min,"Drama, Romance, Thriller",Diane Lane earned a 2002 Best Actress Oscar(R) nomination for her role as a housewife who gets blown into a whirlwind affair.
65,s66,Movie,Finding Your Feet,,,United Kingdom,2021-10-03,2017,PG-13,112 min,"Comedy, Drama, Romance","On the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate."
66,s67,Movie,Pacific Airshow,,,,2021-10-03,2021,,,Documentaries,"Pacific Airshow is not just an Airshow. Itâ€™s a global spectacle-scale event that celebrates the love, patriotism and awe-inspiring feats of aviation with the enticing thrill of sports, entertainment, art and technology - backed by Southern Californiaâ€™s most iconic beachfront destination. This yearâ€™s Pacific Airshow will be headlined by the U.S. Navy Blue Angels celebrating their 75th Anniversary tour and flying their new F/A-18 Super Hornets. The Blue Angels will be joined by the Canadian Forces Snowbirds celebrating their 50th anniversary season, the U.S. Air Force F-35A Lightning II Demo Team led by Major Kristin â€œBEOâ€ Wolfe, U.S. Navy Growler Legacy Flight demonstration team featuring two EA-18Gs, a variant of the F/A-18 F Super Hornet, the U.S. Marine Corps MV-22 Osprey Demo Team, the U.S. Army Golden Knights parachute demonstration team, world-class civilian aerobatic performers and many more."
68,s69,Movie,College Swimming & Diving,,,,2021-10-02,2005,,,Sports,Action from college swimming & diving events.
69,s70,Movie,Men's College Hockey,,,,2021-10-02,2000,,,Sports,Action from NCAA men's college hockey.
71,s72,Movie,A.I.: Artificial Intelligence,,,,2021-10-01,2001,PG-13,145 min,"Adventure, Drama, Science Fiction","In a future world of scientific advances, humans share their lives with sophisticated companion robots. But when an advanced prototype robot child is programmed to show unconditional love, his human family isn't prepared for it."
72,s73,Movie,Air Force One,,,,2021-10-01,1997,R,125 min,"Action, Adventure, Horror",Harrison Ford and Gary Oldman star in Wolfgang Petersen's thriller about the hijacking of Air Force One with the First Family on board.
73,s74,Movie,Ali,,,,2021-10-01,2001,R,157 min,"Black Stories, Drama, History","A pivotal decade in the life of heavyweight boxing legend Muhammad Ali - his rise to the top of the sport, his refusal to go to Vietnam, and his comeback fights with Foreman and Frazier."
77,s78,Movie,Blippi's Spooky Spell Halloween,,,,2021-10-01,2021,TV-Y,41 min,Kids,"Get ready for a spooky halloween with Blippi! Learn all about fun halloween decorations, visit a candy store for the best sweet and spooky treats, learn how to make a Jack-O-Lantern, and so much more."
78,s79,Movie,Boxcar Bertha,,,,2021-10-01,1972,R,89 min,"Crime, Drama","Set in the Depression era of the 1930s, a young woman and three men rob trains and plan a kidnapping. The men are caught and the young woman becomes a prostitute. Based on ""Sister of the Road"" by Boxcar Bertha Thomson."
80,s81,Movie,Cedar Rapids,,,,2021-10-01,2011,R,87 min,Comedy,"A weekend insurance convention proves to be a hotbed of sex, booze and buffoonery for a naive young man in this comedy."
81,s82,Movie,Chasing Papi,,,,2021-10-01,2003,PG,80 min,"Comedy, Drama, Romance",A Latino Casanova courts three Hispanic women in three different cities...until they find out about one another in this comedy.
82,s83,Movie,Class,,,,2021-10-01,1983,R,99 min,"Comedy, Drama","Complications arise when a lucky, lustful prep school teen gets a chance to lose his innocence to an older woman."
83,s84,Movie,Clifford,,,,2021-10-01,1994,PG,90 min,"Comedy, Family, Kids",Martin Short is hilarious as a bratty 10-year-old kid who wreaks havoc while visiting his hapless uncle Charles Grodin in this comedy.
84,s85,Movie,Clockstoppers,,,,2021-10-01,2002,PG,94 min,"Action, Adventure, Comedy",High-school teen Jesse Bradford tries out his scientist dad's new invention: a watch that can freeze time.
85,s86,Movie,Code 46,,,,2021-10-01,2004,R,93 min,"Drama, Romance, Science Fiction",Tim Robbins is an investigator in a dystopian future whose attraction to a mysterious woman lands him on the wrong side of the law.
86,s87,Movie,Crimson Tide,,,,2021-10-01,1995,R,116 min,"Drama, Horror, Thriller",Gene Hackman and Denzel Washington star as a submarine commander and his top lieutenant who wind up in a standoff during a nuclear crisis.
87,s88,Movie,Date Night Extended Version,,,,2021-10-01,2010,PG-13,102 min,"Action, Adventure, Comedy",Steve Carell and Tina Fey are a couple whose wild night out injects some much-needed spark â€“ and some serious danger â€“ into their marriage.
88,s89,Movie,Dead of Winter,,,,2021-10-01,1987,R,101 min,"Horror, Thriller",An out-of-work actress is lured to an isolated house for an audition that takes a horrifying twist in this horror thriller.
89,s90,Movie,Diary of a Wimpy Kid: Rodrick Rules,,,,2021-10-01,2011,PG,100 min,"Comedy, Family, Kids",Young underdog Greg Heffley is back for torment at the hands of his brother Rodrick and more in this second hilarious flick in the series.
90,s91,Movie,"Double, Double, Toil and Trouble",,,,2021-10-01,1993,,97 min,"Adventure, Family, Kids","Determined twins (Mary-Kate Olsen, Ashley Olsen) try to trick an evil aunt (Cloris Leachman) out of a magic moonstone and save their family home."
91,s92,Movie,Dr. No,,,United Kingdom,2021-10-01,1962,PG,110 min,"Action, Adventure","On a mission in Jamaica, ultra-suave Agent 007 finds mad scientist Dr. No concocting a plot to derail the U.S. space program and take over the world."
92,s93,Movie,Edge of the World,,,,2021-10-01,2021,,104 min,"Adventure, Drama, History","The true story of British adventurer Sir James Brooke, who fought pirates, slavers and headhunters to rule a jungle kingdom larger than England in 1840's Borneo."
93,s94,Movie,Escape from Alcatraz,,,United States,2021-10-01,1979,PG,112 min,"Action, Crime, Drama",Based on true events! A hardened convict engineers an elaborate plan to escape infamous Alcatraz Prison - a feat nobody had successfully accomplished before. Directed by Don Siegel (Dirty Harry).
94,s95,Movie,Exorcist: The Beginning,,,,2021-10-01,2004,R,113 min,Horror,Prequel. Exorcist: The Beginning traces the story of Father Merrin back to his first encounter with the Devil during his missionary work in Africa.
95,s96,Movie,Flatliners,,,,2021-10-01,1990,R,114 min,"Drama, Horror, Science Fiction","Julia Roberts, Kiefer Sutherland and Kevin Bacon star in this ""edge of your seat"" thriller as medical students who push themselves to the boundaries of life itself and touch the face of death. This offbeat drama is directed by Joel Schumacher."
96,s97,Movie,From Russia With Love,,,United Kingdom,2021-10-01,1964,PG,115 min,"Action, Adventure, Classics",Bond is back and he's paying the price for his previous adventure when SPECTRE lured him into a deadly trap to avenge the death of Dr. No. Will Bond's mission to find a Russian coding machine be his last?
97,s98,Movie,GoldenEye,,,"United Kingdom, United States",2021-10-01,1995,PG-13,130 min,"Action, Adventure, Thriller","Bond is thrown right into the action before the title song with an eye-opening cliff dive onto a plane. Sporting his signature debonair attitude and pricey gadgets, Bond investigates the destruction of a Russian satellite base."
98,s99,Movie,Goldfinger,,,United Kingdom,2021-10-01,1965,PG,110 min,"Action, Adventure, Classics","007 is pitted against Auric Goldfinger, who plots to render the gold supply at Fort Knox worthless with radioactivity, thereby increasing tenfold the value of his own gold supply to make him the richest, most powerful man on Earth."
99,s100,Movie,Happy Feet,,,,2021-10-01,2006,TV-PG,101 min,"Action, Adventure, Comedy",An emperor penguin expresses himself through tap-dancing.
100,s101,Movie,Happy Feet Two,,,,2021-10-01,2011,PG,100 min,"Adventure, Comedy, Family",Tap-dancing penguin Mumble is now a daddy...and he's got an equally unique (and talented) son to help in this fun-filled family sequel.
101,s102,Movie,House of Games,,,,2021-10-01,1987,R,102 min,Thriller,"An uptight female psychiatrist (and best-selling author) attempts to intercede with a con man on behalf of one of her patients, a compulsive gambler who owes him several thousand dollars."
102,s103,Movie,Intersection,,,,2021-10-01,1994,R,99 min,"Drama, Romance","In the wake of a terrible car wreck, award-winning architect Vincent Eastman sees his life in flashbacks, recalling his separation from his beautiful but aloof wife and his affair with a joyful and passionate journalist."
103,s104,Movie,License to Kill,,,"United Kingdom, Mexico, United States",2021-10-01,1989,PG-13,133 min,"Action, Adventure","This 16th James Bond outing finds Agent 007 defying his superiors and operating without his infamous â€œlicense to killâ€ when he takes revenge upon a Colombian drug kingpin, after the guy maims Bondâ€™s best friend/former CIA agent and kills his new bride."
104,s105,Movie,Light It Up,,,,2021-10-01,1999,R,99 min,"Black Stories, Drama, LGBTQ+","The topical story of a group of high school students who form a protest when they become fed up with their school's poor conditions. After a shot is accidentally fired and a police officer is wounded, the resulting stand-off results in a media frenzy that pits the dirt-digging media against the well-intentioned students."
105,s106,Movie,Lost In Space,,,United States,2021-10-01,1998,PG-13,130 min,"Action, Adventure, Science Fiction","A family of space colonists, their pilot and a diabolical stowaway scientist become hopelessly lost beyond the galaxy when their mission is sabotaged."
106,s107,Movie,Mad Max,,,,2021-10-01,1979,R,93 min,"Action, Adventure, Science Fiction",A chilling drama that combines a futuristic plot with high speed car and motorcycle action. A strange apocalyptic death game between nomadic bikers and a handful of cops.
107,s108,Movie,Madhouse,,,,2021-10-01,2004,,91 min,"Horror, Thriller","When a staff nurse is murdered at a notorious insane asylum, Clark Stevens, a new psychiatry intern, starts digging for answers and soon realizes that there is something very wrong with the people at the asylum, and it's not just the patients."
108,s109,Movie,Maze,,,"Ireland, United Kingdom, Germany, Sweden",2021-10-01,2017,93 min,,"Action, Adventure, Crime","Based on the incredible true story of the 1983 mass break-out of 38 IRA prisoners from the HMP Maze high security prison, one prisoner engineers the largest European prison escape since World War II."
109,s110,Movie,My Best Friend's Wedding,,,United States,2021-10-01,1997,PG-13,105 min,"Comedy, Romance","When a successful food critic learns that her former boyfriend/best friend is getting married, she stops at nothing to clench her own happiness. Stars Julia Roberts, Dermot Mulroney and Cameron Diaz."
110,s111,Movie,Peeples,,,,2021-10-01,2013,PG-13,95 min,"Comedy, Romance",Sparks fly when Wade Walker (Craig Robinson) crashes the preppy Peeples annual reunion in the Hamptons to ask for their precious daughter Grace's (Kerry Washington) hand in marriage
111,s112,Movie,Queen of the Damned,,,,2021-10-01,2002,R,101 min,Horror,"After a decades-long slumber, the vampire Lestat becomes a rock star whose music awakens the queen of all vampires, Akasha, who embarks on a mission to make Lestat her king."
112,s113,Movie,Racing With the Moon,,,,2021-10-01,1984,PG,108 min,"Comedy, Drama, Romance","On the brink of adulthood in small-town Northern California, teens Henry and Nicky try to have a last hurrah before joining the Marines, who are off fighting in World War II. Soon the two youngsters find themselves in a grown-up world all too quickly."
113,s114,Movie,Remo Williams: The Adventure Begins,,,,2021-10-01,1985,PG-13,121 min,"Action, Adventure",A New York City cop is recruited by a super-secret quasi-governmental agency to avenge society's wrongs by being trainded by a Korean Sinanju master.
114,s115,Movie,Resident Evil: Retribution,,,,2021-10-01,2012,R,96 min,"Action, Adventure, Horror",Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.
115,s116,Movie,Rushmore,,,,2021-10-01,1998,R,93 min,"Comedy, Teen",An overachieving prep-school youth wages war for the affections of a pretty teacher in this Wes Anderson comedy.
116,s117,Movie,SCB: Calzaghe vs. Lacy,,,,2021-10-01,2006,,,Sports,Super middleweight Joe Calzaghe vs. Jeff Lacy. Classic fight.
117,s118,Movie,Signs,,,,2021-10-01,2002,PG-13,107 min,"Horror, Science Fiction, Thriller",Unexplained crop circles foreshadow frightening events for a Farmer (Mel Gibson) and his family.
118,s119,Movie,Sleepless in Seattle,,,,2021-10-01,1993,PG,105 min,"Comedy, Romance",A man's son calls into a radio show to find his widowed father a new wife.
119,s120,Movie,Snatch,,,,2021-10-01,2000,R,103 min,"Action, Adventure, Comedy","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond in this crime comedy."
120,s121,Movie,Species,,,,2021-10-01,1995,R,109 min,"Horror, Science Fiction, Thriller",A gorgeous human/alien mutant escapes and goes on a bloody rampage of mating and murder in this gripping sci-fi thriller.
121,s122,Movie,Species II,,,,2021-10-01,1998,R,93 min,"Action, Adventure, Horror",An astronaut returns from Mars carrying deadly alien DNA that spawns bloodthirsty mutants in this scary sequel.
122,s123,Movie,Species III,,,,2021-10-01,2004,R,112 min,"Action, Adventure, Drama","In the ongoing fight for supremacy between mankind and the human-alien hybrids, a fatal hybrid weakness has given humans the advantage."
123,s124,Movie,Species: The Awakening,,,,2021-10-01,2007,TV-MA,98 min,"Science Fiction, Thriller",A college professor discovers she's actually a human/alien hybrid whose monstrous side begins to emerge in this fourth 'Species' film.
124,s125,Movie,Star Trek II: The Wrath of Khan,,,United States,2021-10-01,1982,PG,113 min,"Action, Adventure, Classics","Admiral James T. Kirk is still in charge of a space fleet, but from behind a desk. Dr. McCoy and Mr. Spock convince him to take on a mission which sounds simple, but with the mysterious Khan, things get a little tricky."
125,s126,Movie,Star Trek III: The Search for Spock,,,United States,2021-10-01,1984,PG,105 min,"Action, Adventure, Family","Admiral Kirk's defeat of Khan and the creation of the Genesis planet are empty victories. Spock is dead and McCoy is inexplicably being driven insane. Then a visit from Sarek, Spock's father, provides a startling revelation."
126,s127,Movie,Star Trek IV: The Voyage Home,,,,2021-10-01,1986,PG,119 min,"Action, Adventure, Family","It's the 23rd century and a mysterious power is threatening Earth by evaporating the oceans and destroying the atmosphere. To save mankind, Capt. Kirk and the rest of the Starship Enterprise crew travel back in time to 1986 San Francisco. In HD."
127,s128,Movie,Star Trek V: The Final Frontier,,,United States,2021-10-01,1989,PG,106 min,"Action, Adventure, Family","In this classic movie spin off from the TV series, Captain Kirk and his crew must deal with Spock's long-lost half-brother who hijacks the Enterprise for an obsessive search for God at the center of the galaxy. Stars William Shatner and Leonard Nimoy."
128,s129,Movie,Star Trek VI: The Undiscovered Country,,,United States,2021-10-01,1991,PG,110 min,"Action, Adventure, Family",The crews of the Enterprise and the Excelsior must stop a plot to prevent a peace treaty between the Klingon Empire and the Federation.
129,s130,Movie,Star Trek VIII: First Contact,,,,2021-10-01,1996,PG-13,111 min,"Action, Adventure, Family","Led by their seductive and sadistic queen, the Borg are headed to Earth with a devious plan to alter history. Picard's last encounter with the Borg almost killed him. Now, he wants vengeance. But how far will he go to get it?"
130,s131,Movie,Star Trek: Generations,,,,2021-10-01,1994,PG,118 min,"Action, Adventure, Family",Capt. Kirk and Capt. Picard team up to thwart mad Dr. Soran's quest for the Nexus of joy.
131,s132,Movie,Star Trek: Insurrection,,,United States,2021-10-01,1998,PG,103 min,"Action, Adventure, Family","When the crew of the Enterprise learn of the federation plot against the inhabitants of a unique planet, Capt. Picard begins an open rebellion."
132,s133,Movie,Star Trek: Nemesis,,,,2021-10-01,2002,PG-13,117 min,"Action, Adventure, Science Fiction",Capt. Jean-Luc Picard meets his match in a Reman rebel leader who is his evil clone in this thrilling 'Star Trek' adventure.
133,s134,Movie,Star Trek: The Motion Picture,,,United States,2021-10-01,1979,PG,130 min,"Action, Adventure, Family","This first Star Trek film reunites the U.S.S. Enterprise's original crew. Capt. James T. Kirk now an admiral, and his crew must save humanity from an alien ship steadily approaching Earth and destroying everything in its path."
135,s136,Movie,Sweet Home Alabama,,,,2021-10-01,2002,TV-14,104 min,"Comedy, Romance",A fashion designer (Reese Witherspoon) demands a divorce from her husband (Josh Lucas).
136,s137,Movie,Sweet Land,,,,2021-10-01,2005,PG,111 min,"Drama, Romance","At her husband's funeral, a woman retells her life story to her grandson going back to her arrival from Germany in 1920 to a pre-arranged marriage with a Norwegian farmer in rural Minnesota."
137,s138,Movie,The Extreme Adventures of Super Dave,,,,2021-10-01,2000,PG,91 min,Comedy,A klutzy but legendary stuntman named Super Dave comes out of retirement to help raise money for a heart operation for his girlfriend's son.
138,s139,Movie,The Holiday,,,,2021-10-01,2006,PG-13,136 min,"Comedy, Drama, Romance",From writer/director Nancy Meyers comes a romantic comedy about two women on opposite sides of the globe who swap houses only to discover that a change of address can really change their lives.
139,s140,Movie,The Hunger Games,,,,2021-10-01,2012,TV-14,181 min,"Action, Adventure, Science Fiction","Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games."
140,s141,Movie,The Hunger Games: Catching Fire,,,,2021-10-01,2013,TV-14,182 min,"Action, Adventure, Science Fiction","After arriving safely home from their unprecedented victory in the 74th Annual Hunger Games, Katniss and Peeta discover they must do a quick turnaround and begin a Victors Tour."
141,s142,Movie,"The Hunger Games: Mockingjay, Part 1",,,,2021-10-01,2014,TV-14,108 min,"Action, Adventure, Science Fiction",Katniss fights for Peeta and a nation moved by her courage.
142,s143,Movie,"The Hunger Games: Mockingjay, Part 2",,,,2021-10-01,2015,TV-14,128 min,"Action, Adventure, Family","With Panem in a full scale war, Katniss confronts President Snow. Katniss goes off on a mission with a unit from District 13 as they risk their lives to liberate the citizens of Panem, and stage an assassination attempt on President Snow."
143,s144,Movie,The Mask of Zorro,,,,2021-10-01,1998,PG-13,138 min,"Action, Adventure","When a power-crazed despot schemes to buy California from Mexico, it takes two Zorros - the legendary Don Diego de la Vega (Anthony Hopkins) and his successor Alejandro Murrieta (Antonio Banderas) - to defeat the tyrant's unscrupulous plans."
145,s146,Movie,The Perfect Holiday,,,,2021-10-01,2007,PG,96 min,"Comedy, Drama, Family",Romance blooms when a little girl asks a department-store Santa (Morris Chestnut) to fulfill her divorced mother's (Gabrielle Union) fondest wish for Christmas.
146,s147,Movie,The Recruit,,,,2021-10-01,2003,PG-13,115 min,"Action, Thriller",Twist-filled thriller about a CIA agent who takes a young trainee under his wing and tasks him with rooting out a mole in the agency.
147,s148,Movie,The Rocky Horror Picture Show,,,,2021-10-01,1975,R,99 min,"Comedy, Music",A newly engaged couple break down and spend the night at the mansion home of Dr. Frank-N-Furter.
148,s149,Movie,The Saint,,,United States,2021-10-01,1997,PG-13,116 min,"Action, Adventure, Drama","Want someone to infiltrate a top-secret organiz ation or steal a scientific formula that could change the world? For the right price, The Saint's your man."
149,s150,Movie,The Spy Who Loved Me,,,United Kingdom,2021-10-01,1977,PG,126 min,"Action, Adventure","When British and Russian subs start vanishing, 007 teams up with Russiaâ€™s top spy to do battle with a menacing, steel-toothed, 7â€™2â€ henchman, Jaws, and thwart archvillain Karl Strombergâ€™s plans for destroying the world with nuclear bombs."
150,s151,Movie,The Taking of Pelham 1 2 3,,,"United States, United Kingdom",2021-10-01,2009,R,106 min,"Action, Adventure, Black Stories","Armed men hijack a New York City subway train, holding the passengers hostage in return for a ransom, and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime."
151,s152,Movie,The Untouchables,,,,2021-10-01,1987,R,119 min,"Classics, Crime, Drama",This theatrical feature is based on the popular TV series about the campaign of U.S. Prohibition Bureau agent Eliot Ness to smash the beer and booze empire of Al Capone in 1920s Chicago.
152,s153,Movie,The Village,,,,2021-10-01,2004,PG-13,108 min,"Horror, Thriller",An idyllic village is threatened by creatures in the woods nearby.
153,s154,Movie,The Vow,,,,2021-10-01,2012,TV-14,104 min,"Drama, Romance","Inspired by a true story, The Vow tells the tale of a husband (Channing Tatum) who must regain the love of his wife (Rachel McAdams) after a coma steals the past five years of her memories."
154,s155,Movie,Theater of Blood,,,,2021-10-01,1973,R,104 min,"Comedy, Horror, News",Vincent Price is a crazed Shakespearean actor who adds murder to his repertoire when he takes gruesome revenge on the critics who slighted him. In HD.
155,s156,Movie,Total Recall,,,,2021-10-01,2012,TV-14,118 min,"Action, Adventure, Science Fiction",A factory worker becomes a hunted man after a procedure goes awry that would convert his dreams of life as a spy into real memories.
156,s157,Movie,Unforgettable,,,,2021-10-01,2017,R,100 min,"Drama, Thriller","When her ex-husband announces that he plans to remarry, a woman sets out to destroy his new bride."
157,s158,Movie,Victor Frankenstein,,,"United Kingdom, Canada, United States",2021-10-01,2015,PG-13,110 min,"Drama, Horror",The story of Frankenstein and his monster is brought to eye-popping new life in this lavish update with Daniel Radcliffe and James McAvoy.
158,s159,Movie,Waitress,,,,2021-10-01,2007,PG-13,108 min,"Comedy, Drama, Romance","Late filmmaker Adrienne Shelly's funny, poignant tale of a small-town waitress caught in the middle of some big-time problems."
159,s160,Movie,When A Man Loves A Woman,,,,2021-10-01,1994,R,126 min,"Drama, Romance",A married couple is on shaky grounds due to a drinking problem.
160,s161,Movie,Within,,,,2021-10-01,2016,R,88 min,"Horror, Thriller",A widower moves into a new house and learns that the previous owners mysteriously vanished.
161,s162,Movie,Wolves at the Door,,,,2021-10-01,2016,R,72 min,"Drama, Horror, Thriller",Four friends endure a horrifying home invasion in the Hollywood Hills in 1969.
162,s163,Movie,Wrong Turn 2: Dead End,,,,2021-10-01,2007,R,96 min,"Drama, Horror, Thriller",Contestants in a reality show find themselves playing a game of life-or-death when they encounter a band of inbred hillbilly cannibals.
166,s167,Movie,L.A. Rams Cheerleaders: Making the Squad,,,,2021-09-30,2021,,,News,"Join us as we follow three candidates as they audition to be part of the LA Rams Cheerleaders. Jacqueline, the cheerleading vet hoping to secure a spot on the team again. Jose, the college grad who flew cross country to take a chance on his dream. Amanda, a lifelong dancer who is hoping her years of hard work will pay off."
167,s168,Movie,True Crime: The Murder of Monica Leech,,,,2021-09-30,2021,,,"Crime, Documentaries","The renewed hunt for the men wanted for the 1997 murder of bank teller Monica Leech during a robbery in quiet Thousand Oaks, California. The wanted men are members of one of L.A.â€™s largest and most violent street gangs. Were they inspired by a Hollywood blockbuster movie and does decades old DNA evidence hold the clue to finally putting them behind bars?"
168,s169,Movie,Minor Premise,,,,2021-09-29,2020,,96 min,"Science Fiction, Thriller","Attempting to surpass his father's legacy, a reclusive neuroscientist becomes entangled in his own experiment, pitting ten fragments of his consciousness against each other."
169,s170,Movie,Year of Extremes,,,,2021-09-29,2021,,,News,"As world leaders prepare to meet for a high-stakes climate summit in Glasgow, ABCâ€™s Chief Meteorologist Ginger Zee looks at how human induced climate change is amplifying extreme weather events and what we can do now."
171,s172,Movie,Felix and the Hidden Treasure,,,,2021-09-28,2021,TV-PG,84 min,"Adventure, Comedy, Kids","Twelve-year-old Felix sets off to find his missing father at sea. With the help of a retired sailor, a one-legged parrot, and a cat who thinks heâ€™s a dog, Felix will discover an unimaginable new world."
